buy_total,buy_unit,cus_date,customer,date_offset_days,grade,margin_total,margin_unit,match_note,qty,sell_total,sell_unit,sup_date,supplier,truck
1980000.0,198.0,2026-08-05,BOLD,0,PMS,23000.0,2.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KDT 943V
2000000.0,200.0,2026-08-05,LANDMARK,0,AGO,25000.0,2.5,truck+grade+qty ±1d,10000.0,2025000.0,202.5,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KCC 166U
2000000.0,200.0,2026-08-05,TRANSGLIDE,0,AGO,23000.0,2.3,truck+grade+qty ±1d,10000.0,2023000.0,202.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KAX 628E
2000000.0,200.0,2026-08-05,KUSOW,0,PMS,10000.0,1.0,truck+grade+qty ±1d,10000.0,2010000.0,201.0,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KBZ 743G
2000000.0,200.0,2026-08-05,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KBY 554Z
2000000.0,200.0,2026-08-05,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KBG 498R
2000000.0,200.0,2026-08-06,PETROL KIM,1,PMS,23000.0,2.3,truck+grade+qty ±1d,10000.0,2023000.0,202.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KCR 924W
2000000.0,200.0,2026-08-05,BOLD,0,AGO,3000.0,0.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KBL 473S
1400000.0,200.0,2026-08-05,BOLD,0,PMS,2100.0,0.3,truck+grade+qty ±1d,7000.0,1402100.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KCL 098L
600000.0,200.0,2026-08-05,BOLD,0,AGO,900.0,0.3,truck+grade+qty ±1d,3000.0,600900.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KCL 098L
2045000.0,204.5,2026-08-05,BOLD,0,AGO,8000.0,0.8,truck+grade+qty ±1d,10000.0,2053000.0,205.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KDB 911B
2045000.0,204.5,2026-08-05,BOLD,0,AGO,8000.0,0.8,truck+grade+qty ±1d,10000.0,2053000.0,205.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KBZ 872N
2000000.0,200.0,2026-08-06,DIMKA,0,PMS,-10000.0,-1.0,truck+grade+qty ±1d,10000.0,1990000.0,199.0,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KCA 072Q
600000.0,200.0,2026-08-06,SHAMEEL,0,PMS,13500.0,4.5,truck+grade+qty ±1d,3000.0,613500.0,204.5,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KDG 103L
800000.0,200.0,2026-08-06,SAKATII,0,PMS,18000.0,4.5,truck+grade+qty ±1d,4000.0,818000.0,204.5,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KDG 103L
2000000.0,200.0,2026-08-06,PETROL KIM,0,PMS,23000.0,2.3,truck+grade+qty ±1d,10000.0,2023000.0,202.3,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KBS 311L
1995000.0,199.5,2026-08-06,PETROL KIM,0,AGO,18000.0,1.8,truck+grade+qty ±1d,10000.0,2013000.0,201.3,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KBB 038G
1200000.0,200.0,2026-08-06,HOKOLA,0,PMS,24000.0,4.0,truck+grade+qty ±1d,6000.0,1224000.0,204.0,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KAV 369B
800000.0,200.0,2026-08-07,ARABIYA,1,AGO,14000.0,3.5,truck+grade+qty ±1d,4000.0,814000.0,203.5,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KAV 369B
