id,date,name,state,truck,customer,grade,supplier,qty,buy,sell,margin,invoices
784,2026-08-07,DEAL/2026/0784,loaded,KBZ 984F,BOLD,"PMS, AGO",PINOIL ENERGY LTD,14000,2791500.00,2803200.00,11700.00,INV/2026/00737
785,2026-08-07,DEAL/2026/0785,loaded,KAR 032Y,BOLD,AGO,PREMIUM ENERGY LIMITED,10000,1980000.00,1983000.00,3000.00,INV/2026/00738
786,2026-08-07,DEAL/2026/0786,loaded,KBK 308Q,BOLD,AGO,PREMIUM ENERGY LIMITED,14000,2772000.00,2776200.00,4200.00,INV/2026/00739
787,2026-08-07,DEAL/2026/0787,loaded,KDC 920Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2033000.00,33000.00,INV/2026/00740
788,2026-08-07,DEAL/2026/0788,loaded,KDT 943V,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,7000,1400000.00,1423100.00,23100.00,INV/2026/00741
789,2026-08-07,DEAL/2026/0789,loaded,KCL 098L,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2033000.00,3000.00,INV/2026/00742
790,2026-08-07,DEAL/2026/0790,loaded,KBY 554Z,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2033000.00,3000.00,INV/2026/00743
791,2026-08-07,DEAL/2026/0791,loaded,KDM 130W,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2033000.00,3000.00,INV/2026/00744
792,2026-08-07,DEAL/2026/0792,loaded,KBL 473S,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2033000.00,3000.00,INV/2026/00745
793,2026-08-07,DEAL/2026/0793,loaded,KDE 775B,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2033000.00,3000.00,INV/2026/00746
794,2026-08-07,DEAL/2026/0794,loaded,KCA 340H,DARUSALAAM,PMS,VITALAC INTERNATIONAL  LIMITED,37000,7511000.00,7529500.00,18500.00,INV/2026/00747
795,2026-08-07,DEAL/2026/0795,loaded,KCC 166U,LANDMARK,PMS,PINOIL ENERGY LTD,10000,1995000.00,2015000.00,20000.00,INV/2026/00748
796,2026-08-07,DEAL/2026/0796,loaded,KDU 024V,MALUINI VENTURES,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1995000.00,2010000.00,15000.00,INV/2026/00749
797,2026-08-07,DEAL/2026/0797,loaded,KDD 231R,MAQBUL,AGO,OLA ENERGIES KENYA LTD,10000,1970000.00,1990000.00,20000.00,INV/2026/00750
798,2026-08-07,DEAL/2026/0798,loaded,KBK 308Q,MAQBUL,AGO,PREMIUM ENERGY LIMITED,2000,396000.00,403000.00,7000.00,INV/2026/00751
